probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.08,0.5,0.5,gcs_lazy,10,65.272,0.0,300.19,65.272,82.253125,-16.981125
0.08,0.5,0.5,oracle_assignment,10,64.0,0.0,64.0,65.272,82.253125,-18.253125
0.08,0.5,0.5,probe_all_local,10,65.272,0.0,272.9,65.272,82.253125,-16.981125
0.08,0.5,0.5,replan_on_failure,10,82.253125,6.975,64.0,65.272,82.253125,0.0
0.08,0.5,0.75,behavior_tree_fallback,10,65.28,0.0,208.0,65.28,82.19375,-16.91375
0.08,0.5,0.75,gcs_eager,10,65.28,0.0,273.0,65.28,82.19375,-16.91375
0.08,0.5,0.75,gcs_lazy,10,65.28,0.0,300.3,65.28,82.19375,-16.91375
0.08,0.5,0.75,oracle_assignment,10,64.0,0.0,64.0,65.28,82.19375,-18.19375
0.08,0.5,0.75,probe_all_local,10,65.28,0.0,273.0,65.28,82.19375,-16.91375
0.08,0.5,0.75,replan_on_failure,10,82.19375,6.775,64.0,65.28,82.19375,0.0
0.08,1.0,0.0,behavior_tree_fallback,10,65.272,0.0,207.9,65.272,84.7375,-19.4655
0.08,1.0,0.0,gcs_eager,10,65.272,0.0,272.9,65.272,84.7375,-19.4655
0.08,1.0,0.0,gcs_lazy,10,65.272,0.0,300.19,65.272,84.7375,-19.4655
0.08,1.0,0.0,oracle_assignment,10,64.0,0.0,64.0,65.272,84.7375,-20.7375
0.08,1.0,0.0,probe_all_local,10,65.272,0.0,272.9,65.272,84.7375,-19.4655
0.08,1.0,0.0,replan_on_failure,10,84.7375,6.9125,64.0,65.272,84.7375,0.0
0.08,1.0,0.25,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,86.18125,-20.91725
0.08,1.0,0.25,gcs_eager,10,65.264,0.0,272.8,65.264,86.18125,-20.91725
0.08,1.0,0.25,gcs_lazy,10,65.264,0.0,300.08,65.264,86.18125,-20.91725
0.08,1.0,0.25,oracle_assignment,10,64.0,0.0,64.0,65.264,86.18125,-22.18125
0.08,1.0,0.25,probe_all_local,10,65.264,0.0,272.8,65.264,86.18125,-20.91725
0.08,1.0,0.25,replan_on_failure,10,86.18125,7.125,64.0,65.264,86.18125,0.0
0.08,1.0,0.5,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,86.9375,-21.6735
0.08,1.0,0.5,gcs_eager,10,65.264,0.0,272.8,65.264,86.9375,-21.6735
0.08,1.0,0.5,gcs_lazy,10,65.264,0.0,300.08,65.264,86.9375,-21.6735
0.08,1.0,0.5,oracle_assignment,10,64.0,0.0,64.0,65.264,86.9375,-22.9375
0.08,1.0,0.5,probe_all_local,10,65.264,0.0,272.8,65.264,86.9375,-21.6735
0.08,1.0,0.5,replan_on_failure,10,86.9375,7.0125,64.0,65.264,86.9375,0.0
0.08,1.0,0.75,behavior_tree_fallback,10,65.24,0.0,207.5,65.24,86.325,-21.085
0.08,1.0,0.75,gcs_eager,10,65.24,0.0,272.5,65.24,86.325,-21.085
0.08,1.0,0.75,gcs_lazy,10,65.24,0.0,299.75,65.24,86.325,-21.085
0.08,1.0,0.75,oracle_assignment,10,64.0,0.0,64.0,65.24,86.325,-22.325
0.08,1.0,0.75,probe_all_local,10,65.24,0.0,272.5,65.24,86.325,-21.085
0.08,1.0,0.75,replan_on_failure,10,86.325,6.5625,64.0,65.24,86.325,0.0
0.08,2.0,0.0,behavior_tree_fallback,10,65.28,0.0,208.0,65.28,93.4,-28.12
0.08,2.0,0.0,gcs_eager,10,65.28,0.0,273.0,65.28,93.4,-28.12
0.08,2.0,0.0,gcs_lazy,10,65.28,0.0,300.3,65.28,93.4,-28.12
0.08,2.0,0.0,oracle_assignment,10,64.0,0.0,64.0,65.28,93.4,-29.4
0.08,2.0,0.0,probe_all_local,10,65.28,0.0,273.0,65.28,93.4,-28.12
0.08,2.0,0.0,replan_on_failure,10,93.4,7.35,64.0,65.28,93.4,0.0
0.08,2.0,0.25,behavior_tree_fallback,10,65.272,0.0,207.9,65.272,94.675,-29.403
0.08,2.0,0.25,gcs_eager,10,65.272,0.0,272.9,65.272,94.675,-29.403
0.08,2.0,0.25,gcs_lazy,10,65.272,0.0,300.19,65.272,94.675,-29.403
0.08,2.0,0.25,oracle_assignment,10,64.0,0.0,64.0,65.272,94.675,-30.675
0.08,2.0,0.25,probe_all_local,10,65.272,0.0,272.9,65.272,94.675,-29.403
0.08,2.0,0.25,replan_on_failure,10,94.675,7.175,64.0,65.272,94.675,0.0
0.08,2.0,0.5,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,96.4625,-31.1985
0.08,2.0,0.5,gcs_eager,10,65.264,0.0,272.8,65.264,96.4625,-31.1985
0.08,2.0,0.5,gcs_lazy,10,65.264,0.0,300.08,65.264,96.4625,-31.1985
0.08,2.0,0.5,oracle_assignment,10,64.0,0.0,64.0,65.264,96.4625,-32.4625
0.08,2.0,0.5,probe_all_local,10,65.264,0.0,272.8,65.264,96.4625,-31.1985
0.08,2.0,0.5,replan_on_failure,10,96.4625,7.1,64.0,65.264,96.4625,0.0
0.08,2.0,0.75,behavior_tree_fallback,10,65.264,0.0,207.8,65.264,95.9,-30.636
0.08,2.0,0.75,gcs_eager,10,65.264,0.0,272.8,65.264,95.9,-30.636
0.08,2.0,0.75,gcs_lazy,10,65.264,0.0,300.08,65.264,95.9,-30.636
0.08,2.0,0.75,oracle_assignment,10,64.0,0.0,64.0,65.264,95.9,-31.9
0.08,2.0,0.75,probe_all_local,10,65.264,0.0,272.8,65.264,95.9,-30.636
0.08,2.0,0.75,replan_on_failure,10,95.9,6.6125,64.0,65.264,95.9,0.0
0.08,4.0,0.0,behavior_tree_fallback,10,65.272,0.0,207.9,65.272,105.325,-40.053
0.08,4.0,0.0,gcs_eager,10,65.272,0.0,272.9,65.272,105.325,-40.053
0.08,4.0,0.0,gcs_lazy,10,65.272,0.0,300.19,65.272,105.325,-40.053
